FID,Wet_Maxent,NPP,Economy,Category,Status,Sitename
666,1,871,Fishing/Foraging,Anth,Predict,
322,1,876,Fishing/Foraging,Anth,Predict,
479,1,889,Fishing/Foraging,Anth,Predict,
676,1,891,Fishing/Foraging,Anth,Predict,
679,1,898,Fishing/Foraging,Anth,Predict,
714,1,899,Fishing/Foraging,Anth,Predict,
335,1,902,Fishing/Foraging,Anth,Predict,
384,1,912,Fishing/Foraging,Anth,Predict,
351,1,915,Fishing/Foraging,Anth,Predict,
696,1,917,Fishing/Foraging,Anth,Predict,
32,1,921,Mixed,Anth,Predict,
345,1,921,Fishing/Foraging,Anth,Predict,
229,4,928,Pastoralist,Anth,Predict,
592,2,930,Non Anth,Non Anth,Predict,
364,1,931,Fishing/Foraging,Anth,Predict,
638,1,931,Fishing/Foraging,Anth,Predict,
210,4,936,Pastoralist,Anth,Predict,
3,1,937,Fishing/Foraging,Anth,Predict,
526,1,938,Fishing/Foraging,Anth,Predict,
354,1,940,Fishing/Foraging,Anth,Predict,
667,1,944,Fishing/Foraging,Anth,Predict,
497,1,948,Fishing/Foraging,Anth,Predict,
892,1,952,Fishing/Foraging,Anth,Predict,
478,3,953,Non Anth,Non Anth,Predict,
330,3,955,Non Anth,Non Anth,Predict,
174,3,958,Non Anth,Non Anth,Predict,
546,4,961,Pastoralist,Anth,Predict,
711,4,973,Mixed,Anth,Predict,
758,1,984,Fishing/Foraging,Anth,Predict,
412,1,985,Fishing/Foraging,Anth,Predict,
790,1,988,Fishing/Foraging,Anth,Predict,
415,1,996,Fishing/Foraging,Anth,Predict,
303,1,1001,Fishing/Foraging,Anth,Predict,
645,1,1005,Fishing/Foraging,Anth,Predict,
515,1,1009,Mixed,Anth,Predict,
533,1,1009,Mixed,Anth,Predict,
487,1,1012,Fishing/Foraging,Anth,Predict,
493,1,1012,Fishing/Foraging,Anth,Predict,
858,1,1012,Mixed,Anth,Predict,
181,2,1015,Non Anth,Non Anth,Predict,
392,1,1018,Fishing/Foraging,Anth,Predict,
394,1,1020,Fishing/Foraging,Anth,Predict,
355,1,1021,Fishing/Foraging,Anth,Predict,
403,1,1026,Fishing/Foraging,Anth,Predict,
343,1,1030,Fishing/Foraging,Anth,Predict,
358,1,1033,Mixed,Anth,Predict,
818,1,1038,Fishing/Foraging,Anth,Predict,
647,1,1043,Fishing/Foraging,Anth,Predict,
25,1,1044,Mixed,Anth,Predict,
226,4,1051,Mixed,Anth,Predict,
232,1,1052,Fishing/Foraging,Anth,Predict,
519,1,1052,Fishing/Foraging,Anth,Predict,
238,4,1056,Pastoralist,Anth,Predict,
861,4,1056,Mixed,Anth,Predict,
220,4,1072,Pastoralist,Anth,Predict,
836,1,1076,Fishing/Foraging,Anth,Predict,
796,1,1082,Fishing/Foraging,Anth,Predict,
591,1,1087,Pastoralist,Anth,Predict,
29,4,1088,Mixed,Anth,Predict,
494,4,1088,Pastoralist,Anth,Predict,
853,4,1088,Mixed,Anth,Predict,
340,1,1093,Fishing/Foraging,Anth,Predict,
296,1,1094,Mixed,Anth,Predict,
776,1,1095,Fishing/Foraging,Anth,Predict,
884,1,1108,Fishing/Foraging,Anth,Predict,
424,1,1110,Pastoralist,Anth,Predict,
44,1,1119,Mixed,Anth,Predict,
411,1,1120,Fishing/Foraging,Anth,Predict,
532,1,1123,Mixed,Anth,Predict,
751,4,1124,Pastoralist,Anth,Predict,
201,1,1132,Fishing/Foraging,Anth,Predict,
898,4,1132,Pastoralist,Anth,Predict,
730,4,1133,Pastoralist,Anth,Predict,
488,1,1139,Fishing/Foraging,Anth,Predict,
530,1,1142,Mixed,Anth,Predict,
204,4,1144,Mixed,Anth,Predict,
179,2,1154,Non Anth,Non Anth,Predict,
349,1,1158,Fishing/Foraging,Anth,Predict,
261,1,1167,Mixed,Anth,Predict,
756,2,1168,Non Anth,Non Anth,Predict,
359,1,1170,Mixed,Anth,Predict,
752,4,1173,Mixed,Anth,Predict,
362,1,1179,Mixed,Anth,Predict,
789,4,1179,Pastoralist,Anth,Predict,
525,4,1182,Pastoralist,Anth,Predict,
197,2,1191,Non Anth,Non Anth,Predict,
27,1,1192,Mixed,Anth,Predict,
882,4,1193,Pastoralist,Anth,Predict,
653,1,1194,Fishing/Foraging,Anth,Predict,
507,1,1195,Mixed,Anth,Predict,
769,1,1195,Fishing/Foraging,Anth,Predict,
26,4,1204,Mixed,Anth,Predict,
324,1,1213,Fishing/Foraging,Anth,Predict,
311,1,1214,Fishing/Foraging,Anth,Predict,
405,1,1216,Fishing/Foraging,Anth,Predict,
