FID,Wet_Maxent,NPP,Economy,Anthro
813,1,2158,Fishing/Foraging,Anth
521,4,2160,Pastoralist,Anth
104,2,2161,Mixed,Anth
256,4,2161,Mixed,Anth
611,1,2167,Pastoralist,Anth
766,4,2169,Pastoralist,Anth
105,4,2171,Mixed,Anth
263,2,2177,Mixed,Anth
288,4,2182,Mixed,Anth
58,2,2183,Mixed,Anth
138,2,2185,Mixed,Anth
275,1,2186,Mixed,Anth
815,4,2186,Pastoralist,Anth
816,1,2186,Fishing/Foraging,Anth
269,4,2188,Mixed,Anth
101,2,2189,Mixed,Anth
255,4,2193,Mixed,Anth
151,2,2195,Mixed,Anth
281,2,2199,Mixed,Anth
799,1,2203,Fishing/Foraging,Anth
300,2,2206,Mixed,Anth
547,4,2209,Pastoralist,Anth
293,2,2211,Mixed,Anth
52,2,2212,Mixed,Anth
286,1,2215,Mixed,Anth
574,1,2216,Fishing/Foraging,Anth
106,2,2226,Mixed,Anth
687,4,2227,Mixed,Anth
